file,min,max,grd_med,grd2_med,cen
HM20260820120312,23.4,68.2,61.77,54.87,33.28
HM20260820120317,30.1,52.7,42.73,42.04,45.05
HM20260820120407,30.1,51.4,34.25,34.03,37.09
HM20260820120932,20.0,52.6,49.42,47.58,35.38
HM20260820120937,25.8,58.4,39.84,41.85,49.21
HM20260820120941,28.9,52.8,49.37,46.3,30.98
HM20260820120948,25.4,57.1,34.02,39.54,54.99
HM20260820121414,22.2,70.4,62.98,54.83,44.94
HM20260820121418,24.0,68.2,33.52,39.64,45.08
HM20260820121423,17.6,60.5,56.32,55.0,33.66
HM20260820121434,21.4,60.8,33.12,35.14,56.96
HM20260820121916,23.8,56.3,45.63,48.13,31.47
HM20260820121929,26.0,50.8,32.61,34.9,42.79
HM20260820122341,24.6,52.9,48.98,48.84,32.29
HM20260820122346,21.6,70.8,63.74,57.93,41.28
HM20260820122359,20.2,52.9,29.26,28.92,28.25
HM20260820122747,23.4,40.7,27.13,26.95,27.48
HM20260820122801,26.7,56.3,39.0,38.54,38.08
HM20260820122838,16.7,52.4,34.82,36.84,33.54
HM20260820122929,20.0,58.7,33.89,31.51,37.27
HM20260820123340,28.0,53.8,45.99,44.54,30.51
HM20260820123351,18.9,65.0,43.96,38.05,30.72
HM20260820123357,21.6,66.2,60.48,59.8,40.81
HM20260820123606,21.8,78.0,48.03,57.83,72.81
HM20260820123948,21.2,63.5,57.43,52.44,38.34
HM20260820123952,22.1,64.7,60.11,58.36,33.24
HM20260820123959,27.3,62.7,52.17,53.44,61.61
HM20260820124012,24.5,64.2,58.5,52.8,42.62
HM20260820124308,21.3,66.9,54.04,43.75,40.48
HM20260820124315,20.0,59.1,53.49,52.68,34.64
HM20260820124322,13.9,54.0,32.61,27.88,23.98
HM20260820124412,19.4,53.6,40.45,43.6,36.76
HM20260820124743,23.0,56.2,52.28,52.11,35.43
HM20260820124751,18.7,56.7,51.24,51.05,33.9
HM20260820124802,18.9,63.4,49.02,46.97,35.56
HM20260820125035,25.4,50.5,36.6,36.21,37.5
HM20260820125040,18.6,40.2,23.25,23.92,28.02
HM20260820125047,12.6,47.4,27.06,28.48,28.13
HM20260820125336,21.1,59.8,44.72,42.93,38.17
HM20260820125342,23.7,51.3,34.03,30.92,23.7
HM20260820125346,19.7,58.8,40.55,37.35,29.32
HM20260820125355,28.0,46.2,43.49,40.32,43.59
HM20260820125740,13.8,41.2,29.26,27.57,24.76
HM20260820125745,22.1,48.0,33.79,33.92,34.72
HM20260820130001,18.2,53.6,37.44,35.99,33.45
HM20260820130015,21.5,53.5,34.46,29.05,29.38
HM20260820130020,22.7,58.8,43.06,41.58,39.18
HM20260820130401,20.6,58.0,45.73,30.0,30.38
HM20260820130405,24.3,54.5,41.34,42.27,38.55
HM20260820130411,27.2,41.8,36.33,36.18,36.86
HM20260820130416,24.7,55.2,37.37,36.9,54.57
HM20260820130649,21.7,52.0,41.59,38.79,50.91
HM20260820130654,23.3,59.3,54.13,46.56,36.78
HM20260820130706,31.7,51.2,36.3,36.6,40.4
HM20260820130712,35.9,49.2,47.36,47.36,47.29
HM20260820130941,23.0,57.6,52.63,53.34,25.84
HM20260820130945,22.6,59.4,42.23,40.15,32.04
HM20260820130949,20.7,57.7,54.28,53.34,37.97
HM20260820130956,27.3,55.7,53.66,52.06,46.38
HM20260823104705,24.1,62.0,56.56,56.56,47.23
HM20260823104709,24.7,57.7,54.65,53.98,53.13
HM20260823104714,24.4,60.5,43.1,46.62,47.73
HM20260823104719,30.2,47.9,32.56,32.11,31.02
HM20260823105029,26.1,59.4,43.52,42.66,49.15
HM20260823105037,25.6,58.4,46.63,46.12,55.88
HM20260823105042,19.6,59.2,54.53,53.51,57.17
HM20260823105047,18.8,54.9,50.64,51.38,28.06
HM20260823105643,29.9,57.7,53.71,42.45,33.61
HM20260823105649,27.4,53.9,46.29,49.96,31.48
HM20260823105654,19.7,54.6,51.56,50.13,44.58
HM20260823105658,27.1,56.7,52.15,46.99,53.51
HM20260823110231,13.5,45.9,43.08,29.12,37.09
HM20260823110234,31.5,50.4,44.39,43.62,41.48
HM20260823110239,25.5,59.1,50.31,54.1,32.74
HM20260823110243,26.2,59.1,56.06,48.3,30.08
HM20260823110247,23.5,57.4,52.53,52.18,28.54
HM20260823110252,24.3,77.4,38.19,38.19,39.0
HM20260823110429,20.8,54.9,50.0,50.0,23.77
HM20260823110434,17.9,63.0,56.52,51.2,24.14
HM20260823110438,17.9,57.2,44.5,43.09,36.84
HM20260823110442,18.6,55.2,51.45,51.26,51.45
HM20260823110446,25.4,55.4,52.17,51.71,38.17
HM20260823110831,28.2,76.5,35.38,40.83,50.49
HM20260823110836,23.1,62.7,52.34,52.34,51.33
HM20260823110841,21.0,57.2,52.74,52.74,39.56
HM20260823110845,24.1,49.7,30.4,33.68,33.95
HM20260823111345,20.2,54.6,42.07,42.07,39.08
HM20260823111350,22.6,74.4,61.38,60.32,37.48
HM20260823111354,19.5,66.3,59.58,59.58,41.58
HM20260823111359,26.8,64.7,35.74,34.77,31.08
HM20260823111609,16.9,65.5,58.27,49.05,26.87
HM20260823111613,20.1,55.3,24.97,24.97,26.78
HM20260823111618,20.0,58.1,52.63,40.32,28.99
HM20260823111623,33.7,40.8,37.16,37.12,36.58
HM20260823111940,19.7,51.2,46.35,43.28,21.48
HM20260823111945,21.4,56.8,51.54,47.54,45.36
HM20260823111949,23.5,64.4,58.11,52.03,38.81
HM20260823111953,25.6,41.0,29.55,29.55,31.37
HM20260823112146,27.6,67.3,61.6,57.32,35.34
HM20260823112150,25.8,66.6,61.16,60.53,31.24
HM20260823112155,32.1,59.6,57.2,57.06,52.27
HM20260823112200,31.7,59.4,56.99,56.56,43.21
HM20260823112509,20.3,58.8,47.74,29.97,27.21
HM20260823112513,22.8,52.0,40.02,35.38,27.89
HM20260823112542,24.6,44.8,30.4,30.61,37.45
HM20260823112548,17.8,55.5,46.41,45.25,51.44
HM20260823113143,25.6,50.8,44.21,42.27,32.58
HM20260823113148,29.9,44.6,39.85,39.62,40.15
HM20260823113152,20.9,47.0,43.25,43.25,43.12
HM20260823113157,26.3,41.7,31.04,30.56,32.93
HM20260823113444,25.1,50.3,42.68,36.6,28.98
HM20260823113448,26.7,41.7,37.93,36.85,33.16
HM20260823113453,20.4,48.4,44.38,44.38,44.38
HM20260823113457,33.1,45.8,36.36,36.1,35.71
HM20260823113649,27.8,51.1,43.69,37.12,36.76
HM20260823113654,29.3,44.9,32.66,33.62,39.86
HM20260823113659,28.0,47.8,36.53,38.76,32.47
HM20260823113704,26.7,33.7,29.72,29.82,31.01
HM20260823113929,28.7,47.8,42.71,37.61,31.25
HM20260823113934,26.1,42.0,32.95,32.46,29.2
HM20260823113939,25.5,56.9,47.88,45.15,54.32
HM20260823113944,23.1,57.9,35.41,33.27,27.92
HM20260823114228,24.1,42.5,38.44,29.57,32.03
HM20260823114238,21.6,49.4,39.14,39.42,24.17
HM20260823114250,21.9,43.5,40.4,36.3,22.68
HM20260823115427,23.7,51.6,48.31,43.3,29.42
HM20260823115432,27.3,53.7,46.52,44.22,50.59
HM20260823115437,28.2,54.5,52.34,51.53,39.26
HM20260825113128,21.7,60.9,55.07,50.25,36.78
HM20260825113131,30.5,55.5,41.27,40.88,40.12
HM20260825113135,24.2,63.2,57.4,52.2,30.6
HM20260825113140,34.6,46.1,39.02,39.2,39.55
HM20260825113501,21.9,57.7,54.95,52.56,25.39
HM20260825113511,23.5,63.8,58.01,57.81,34.66
HM20260825113515,30.6,42.2,36.31,38.04,34.94
HM20260825113518,36.5,53.1,41.27,41.01,39.48
HM20260825113714,18.9,66.5,59.42,48.92,41.11
HM20260825113722,19.2,63.8,31.55,30.41,39.33
HM20260825113725,19.0,56.6,51.2,46.77,45.8
HM20260825113729,45.5,49.0,46.95,46.92,47.22
HM20260825114118,26.0,45.1,33.64,32.56,33.35
HM20260825114124,17.9,47.1,24.49,25.84,20.45
HM20260825114127,20.6,59.5,53.52,53.91,41.35
HM20260825114131,27.8,48.3,34.95,33.9,32.64
HM20260825114631,28.2,60.6,55.78,49.63,41.66
HM20260825114636,20.4,50.3,39.72,39.72,25.0
HM20260825114640,24.5,56.6,39.48,42.61,38.33
HM20260825114644,27.5,57.2,33.14,33.59,31.46
HM20260825114850,21.2,53.2,48.61,36.46,25.63
HM20260825114857,21.7,53.4,48.52,48.69,33.57
HM20260825114901,27.5,47.0,31.7,32.1,31.7
HM20260825114905,24.2,53.3,36.29,35.09,37.18
HM20260825114957,20.3,55.3,42.38,38.97,27.48
HM20260825115000,24.0,58.4,30.7,31.76,29.29
HM20260825115004,29.0,43.1,32.69,32.54,32.25
HM20260825115008,18.9,45.4,38.47,33.03,28.28
HM20260825115223,28.8,58.2,53.98,47.19,40.56
HM20260825115227,26.8,67.4,50.12,43.04,29.92
HM20260825115232,30.4,61.5,52.25,52.09,45.71
HM20260825115235,32.5,56.8,37.73,39.23,42.72
HM20260825115723,22.2,56.1,51.93,51.41,25.68
HM20260825115727,24.5,52.1,48.14,48.14,34.41
HM20260825115731,24.1,66.4,59.89,53.6,38.85
HM20260825115736,33.7,40.6,36.96,36.85,36.46
HM20260825115845,20.8,57.0,45.3,44.75,28.23
HM20260825115849,20.5,59.8,54.16,39.44,38.03
HM20260825115851,20.5,60.1,54.82,40.0,37.56
HM20260825115936,21.9,53.0,43.59,29.24,27.96
HM20260825115946,21.9,57.9,48.48,48.48,56.42
HM20260825120206,18.4,61.9,55.65,55.21,31.34
HM20260825120215,19.6,55.1,50.0,45.45,33.8
HM20260825120221,19.3,59.3,53.15,44.53,28.53
HM20260825120614,19.9,65.7,53.72,51.84,26.71
HM20260825120619,22.1,57.1,44.72,43.46,38.43
HM20260825120624,20.7,65.0,31.15,31.83,53.41
HM20260825120627,23.0,53.5,45.21,45.37,50.68
HM20260825120841,19.0,62.9,56.6,47.37,26.65
HM20260825120846,18.8,52.4,33.79,30.52,27.07
HM20260825120849,21.5,63.6,52.59,50.21,28.41
HM20260825120853,30.7,52.1,44.97,45.52,49.47
HM20260825121128,25.7,46.4,31.43,31.86,35.36
HM20260825121134,20.7,71.2,63.95,63.95,32.09
HM20260825121138,22.3,66.2,53.14,51.34,43.01
HM20260825121142,21.6,62.3,37.88,38.3,33.71
HM20260825121146,28.8,41.0,33.87,32.05,34.56
HM20260825121636,23.1,58.8,54.41,53.67,31.52
HM20260825121640,21.5,66.2,61.84,60.47,36.86
HM20260825121652,23.4,58.8,48.63,53.35,31.75
HM20260825121706,24.1,62.7,53.0,48.25,34.2
HM20260825122148,22.4,65.3,50.12,49.24,40.88
HM20260825122154,25.2,63.0,42.84,35.67,28.5
HM20260825122204,22.9,56.9,38.24,34.76,30.92
HM20260825131652,27.8,43.4,32.6,32.36,33.32
HM20260825131727,25.5,53.8,36.09,36.09,35.37
HM20260826113138,20.1,58.0,53.53,52.75,36.23
HM20260826113143,18.3,55.5,50.16,38.52,29.36
HM20260826113147,20.9,66.7,61.06,60.12,51.2
HM20260826113151,26.4,64.9,59.57,59.37,33.9
HM20260826113910,14.1,57.7,40.71,32.21,29.53
HM20260826113914,23.6,61.0,55.44,51.99,42.01
HM20260826113917,29.8,57.1,54.44,45.2,34.56
HM20260826113922,24.2,66.7,53.62,53.84,60.6
HM20260826114038,21.9,60.1,56.57,55.59,56.97
HM20260826114041,29.8,63.4,58.75,55.82,46.34
HM20260826114045,22.8,60.4,55.0,55.0,37.26
HM20260826114051,19.4,60.9,48.98,38.98,29.83
HM20260826114445,20.5,69.4,56.99,55.36,30.03
HM20260826114449,23.7,56.5,52.46,46.24,41.7
HM20260826114453,28.9,59.2,45.06,44.13,31.7
HM20260826114457,24.2,68.6,43.33,42.64,31.94
HM20260826114837,18.6,60.3,54.53,49.39,54.74
HM20260826114841,21.8,61.7,39.6,36.74,38.37
HM20260826114845,26.4,70.6,58.59,58.59,31.39
HM20260826114849,19.6,59.5,27.99,31.47,42.11
HM20260826115326,20.8,55.6,52.57,50.6,37.75
HM20260826115331,29.0,53.9,41.26,39.34,33.34
HM20260826115335,21.0,57.1,51.92,51.92,28.41
HM20260826115342,29.8,59.3,33.58,34.04,36.15
HM20260826120027,22.6,55.5,44.87,37.45,28.34
HM20260826120035,27.6,59.9,51.45,41.51,32.24
HM20260826120039,24.0,64.1,54.02,51.14,53.2
HM20260826120042,27.3,48.4,31.52,31.52,33.14
HM20260826120447,30.4,58.4,50.36,49.07,34.71
HM20260826120451,33.5,58.0,55.74,55.24,38.02
HM20260826120458,33.2,59.8,56.25,52.84,45.61
HM20260826120501,31.3,56.3,40.02,37.2,36.68
HM20260826120919,17.9,58.6,52.76,47.54,26.67
HM20260826120934,19.8,61.2,40.39,40.18,35.3
HM20260826121126,24.7,60.4,55.27,47.22,38.06
