file,min,max,grd_med,grd2_med,cen
HM20260327134023,-9.6,35.5,20.7,20.93,7.28
HM20260327134029,7.7,30.9,24.59,24.0,16.39
HM20260327134035,12.3,25.3,17.17,17.77,20.83
HM20260327134040,-3.1,31.8,21.96,20.35,11.4
HM20260327135338,0.3,34.6,30.73,29.67,12.61
HM20260327135343,7.0,36.6,29.01,25.82,18.08
HM20260327135348,0.6,43.5,32.06,30.52,16.66
HM20260327135352,-10.6,32.6,25.95,21.08,8.67
HM20260327135704,4.5,47.8,41.8,41.58,34.48
HM20260327135711,5.4,44.5,24.65,30.06,23.65
HM20260327135715,16.9,52.4,42.21,41.66,17.99
HM20260327135720,-1.5,48.1,17.07,19.87,10.2
HM20260327140122,-8.2,61.9,26.67,29.19,39.25
HM20260327140127,-2.9,36.5,16.5,22.36,22.56
HM20260327140132,9.5,43.2,21.25,18.31,31.79
HM20260327140137,12.0,25.9,18.63,17.6,19.84
HM20260327140525,2.8,36.4,31.4,31.58,25.72
HM20260327140530,10.6,38.1,34.29,34.15,16.81
HM20260327140534,-8.0,38.0,17.95,21.25,17.95
HM20260327140543,-0.1,34.5,31.13,29.53,12.85
HM20260327140829,17.7,35.8,24.01,22.71,21.97
HM20260327140833,-7.0,35.4,29.53,29.31,12.35
HM20260327140837,14.3,38.3,23.53,23.28,32.02
HM20260327140841,-10.5,52.3,42.64,35.23,28.79
HM20260327141211,-4.4,44.6,2.13,3.14,9.67
HM20260327141216,-1.8,39.5,12.6,14.72,18.11
HM20260327141219,4.2,34.0,18.11,18.11,8.94
HM20260327141226,0.0,24.4,7.01,12.01,16.39
HM20260327141422,13.7,42.9,24.63,22.68,17.44
HM20260327141426,19.0,42.5,22.62,21.77,24.42
HM20260327141430,9.6,34.5,21.6,24.54,21.86
HM20260327141434,-6.0,31.8,20.94,17.84,12.42
